SAMPLE	ASM_LEN	LEN_OK	N_CONTIGS	CONTIG_OK	PCG_COUNT	PCG_OK	RRNA_COUNT	RRNA_OK	TRNA_COUNT	TRNA_OK	DUPLICATED_GENES	ISSUES
SwLa-LuSpp-7-m-2020_pooled_86	16392	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-8-m-2020_pooled_87	15707	YES	1	YES	13	YES	2	YES	22	YES	none	OK
SwLa-LuSpp-9-f-2020_pooled_88	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-40-m-2022-1	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-41-m-2022-2	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-42-m-2022-3	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-43-m-2022-4	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-44-m-2022-5	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-45-m-2022-6	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-46-m-2022-7	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-47-m-2022-8	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-48-m-2022-9	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-49-m-2022-10	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-50-m-2022-11	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-51-m-2022-12	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-52-m-2022-13	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-53-m-2022-14	16489	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPal-LuNov-54-m-2022-15	16490	YES	1	YES	13	YES	2	YES	22	YES	none	OK
GrPa-LuSpp-3-m-2020_pooled_105	15681	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-17-m-2022-2	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-20-m-2022-5	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-24-m-2022-9	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
MoDo-LuNov-31-m-2022-1	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
MoDo-LuNov-32-m-2022-2	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoAlf-LuLus-65-m-2022-11	16525	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoAlf-LuLus-66-m-2022-12	16525	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoAlf-LuLus-68-m-2022-14	16525	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoMon-LuLus-61-m-2022-7	16516	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoMon-LuLus-62-m-2022-8	16516	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoMon-LuLus-63-m-2022-9	16516	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoSes-LuLus-56-m-2022-2	16517	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoSes-LuLus-57-m-2022-3	16517	YES	1	YES	13	YES	2	YES	22	YES	none	OK
PoSes-LuLus-58-m-2022-4	16517	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItSal-LuLus-2-f-2022-2	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-6-m-2022-6	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-8-m-2022-8	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
FraBlu-LuIta-10-m-2025-25	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
FraBlu-LuIta-14-m-2025-29	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
FraBlu-LuIta-4-m-2025-19	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
FraPar-LuIta-3-m-2025-3	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
FraPar-LuIta-8-m-2025-8	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
FraPar-LuIta-9-m-2025-9	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
AlVe-LuNov-34-m-2022-2	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
AlVe-LuNov-36-m-2022-4	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
AlVe-LuNov-38-m-2022-6	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
FraBlu-LuIta-9-m-2025-24	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItSal-LuLus-7-m-2022-7	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItPie-LuLus-16-m-2022-1	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-18-m-2022-3	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-19-m-2022-4	16471	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-21-m-2022-6	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-22-m-2022-7	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-23-m-2022-8	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-25-m-2022-10	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-26-m-2022-11	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-27-m-2022-12	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-28-m-2022-13	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-29-m-2022-14	16469	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItPie-LuLus-30-m-2022-15	16470	YES	1	YES	13	YES	2	YES	22	YES	none	OK
ItSal-LuLus-10-m-2022-10	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-11-m-2022-11	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-12-m-2022-12	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-13-m-2022-13	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-14-m-2022-14	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-15-m-2022-15	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-1-m-2022-1	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-3-m-2022-3	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-4-m-2022-4	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-5-m-2022-5	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
ItSal-LuLus-9-m-2022-9	16480	YES	1	YES	13	YES	2	YES	21	NO	none	TRNA=21;
